Sex,Rings,Length,Diameter,Height,Weight
M,10,0.485,0.37,0.14,0.5725
F,7,0.435,0.325,0.115,0.3915
M,16,0.535,0.405,0.185,0.8345
M,10,0.51,0.4,0.14,0.6515
M,15,0.565,0.44,0.185,0.909
F,13,0.535,0.4,0.15,0.8045
F,16,0.535,0.405,0.125,0.927
M,11,0.525,0.4,0.17,0.7305
M,11,0.59,0.44,0.15,0.9555
M,10,0.5,0.375,0.15,0.636
I,5,0.255,0.19,0.075,0.0865
F,11,0.43,0.325,0.115,0.3865
M,9,0.38,0.29,0.12,0.283
I,4,0.165,0.11,0.02,0.019
I,7,0.315,0.23,0.09,0.1285
I,4,0.155,0.105,0.05,0.0175
M,5,0.28,0.205,0.1,0.1165
F,13,0.43,0.335,0.12,0.444
F,16,0.395,0.315,0.105,0.3515
M,12,0.385,0.285,0.105,0.2905
F,14,0.48,0.385,0.135,0.536
F,9,0.445,0.33,0.105,0.4525
M,12,0.395,0.295,0.115,0.316
M,9,0.4,0.3,0.125,0.417
M,10,0.415,0.325,0.14,0.417
M,11,0.315,0.25,0.09,0.203
F,10,0.345,0.26,0.09,0.207
M,10,0.36,0.295,0.13,0.2765
I,7,0.295,0.225,0.09,0.1105
I,7,0.325,0.25,0.08,0.176
M,11,0.375,0.3,0.1,0.2465
I,7,0.28,0.205,0.055,0.1135
M,8,0.355,0.265,0.085,0.201
M,9,0.35,0.255,0.08,0.1915
I,7,0.275,0.2,0.065,0.1035
I,8,0.29,0.205,0.07,0.0975
I,6,0.25,0.19,0.06,0.0765
I,4,0.18,0.125,0.035,0.0265
I,2,0.15,0.1,0.025,0.015
I,3,0.16,0.11,0.025,0.018
M,13,0.555,0.455,0.16,1.0575
M,15,0.555,0.44,0.15,1.092
M,15,0.525,0.41,0.13,0.99
M,11,0.465,0.36,0.08,0.488
F,17,0.49,0.36,0.11,0.5005
M,10,0.4,0.305,0.085,0.297
F,12,0.48,0.375,0.105,0.525
M,13,0.505,0.4,0.125,0.77
F,15,0.52,0.4,0.12,0.6515
M,11,0.525,0.4,0.13,0.8295
M,13,0.545,0.42,0.13,0.879
M,15,0.52,0.4,0.12,0.823
M,13,0.505,0.38,0.13,0.656
M,18,0.525,0.425,0.12,0.8665
M,10,0.51,0.39,0.125,0.6565
M,12,0.52,0.385,0.115,0.669
F,12,0.52,0.405,0.125,0.6435
M,14,0.535,0.41,0.135,0.862
M,10,0.445,0.345,0.09,0.3795
M,14,0.53,0.44,0.205,0.835
F,8,0.36,0.265,0.09,0.2065
F,14,0.535,0.42,0.15,0.7365
F,17,0.52,0.405,0.14,0.8175
M,20,0.53,0.415,0.13,0.8425
F,17,0.53,0.42,0.13,1.001
F,17,0.66,0.52,0.2,1.676
M,9,0.52,0.385,0.14,0.6595
M,14,0.535,0.42,0.13,0.8055
M,15,0.695,0.515,0.175,1.5165
F,13,0.51,0.39,0.105,0.612
M,10,0.485,0.355,0.12,0.547
F,13,0.605,0.46,0.17,1.122
F,13,0.58,0.455,0.165,1.1365
M,20,0.65,0.515,0.175,1.4805
M,13,0.62,0.505,0.185,1.5275
M,20,0.615,0.525,0.155,1.1375
F,15,0.605,0.495,0.19,1.437
M,13,0.57,0.44,0.155,1.116
M,15,0.57,0.43,0.12,1.0615
M,15,0.585,0.405,0.15,1.2565
F,16,0.55,0.44,0.155,0.946
F,17,0.54,0.44,0.135,0.959
M,14,0.64,0.51,0.19,1.613
F,14,0.61,0.47,0.145,1.153
M,11,0.545,0.45,0.15,0.978
F,13,0.59,0.445,0.13,1.1325
M,9,0.345,0.27,0.095,0.197
F,11,0.55,0.43,0.155,0.785
F,17,0.53,0.425,0.17,0.949
F,11,0.53,0.455,0.165,0.9805
I,8,0.485,0.375,0.14,0.521
M,8,0.385,0.275,0.115,0.2685
M,9,0.455,0.34,0.135,0.462
M,10,0.49,0.38,0.14,0.7605
M,11,0.53,0.41,0.165,0.732
M,15,0.505,0.385,0.145,0.6775
M,13,0.49,0.38,0.14,0.6385
M,15,0.465,0.35,0.14,0.5755
F,15,0.47,0.36,0.145,0.537
M,13,0.56,0.41,0.165,0.93
M,12,0.505,0.385,0.15,0.6415
M,10,0.515,0.435,0.145,0.8815
I,6,0.385,0.28,0.125,0.244
I,5,0.215,0.155,0.06,0.0525
M,15,0.55,0.415,0.175,1.042
F,9,0.515,0.39,0.13,0.5755
M,12,0.495,0.385,0.135,0.709
F,9,0.505,0.39,0.16,0.644
F,12,0.6,0.465,0.165,0.8875
F,10,0.57,0.465,0.16,0.8935
F,10,0.485,0.375,0.135,0.556
M,9,0.47,0.37,0.18,0.51
M,12,0.575,0.45,0.165,0.9215
M,12,0.58,0.465,0.16,1.0345
M,15,0.515,0.405,0.145,0.695
M,11,0.53,0.41,0.155,0.7155
M,9,0.44,0.335,0.11,0.394
M,11,0.52,0.42,0.16,0.745
F,11,0.425,0.345,0.11,0.3665
M,10,0.46,0.34,0.135,0.495
M,10,0.45,0.335,0.125,0.349
M,9,0.425,0.33,0.13,0.4405
I,7,0.37,0.275,0.1,0.22
M,10,0.515,0.38,0.135,0.6615
M,7,0.405,0.305,0.12,0.3185
I,6,0.28,0.205,0.07,0.1015
F,15,0.48,0.4,0.125,0.759
F,10,0.44,0.34,0.13,0.4195
F,12,0.52,0.41,0.115,0.807
M,12,0.505,0.405,0.14,0.875
F,21,0.49,0.365,0.13,0.6835
I,6,0.235,0.175,0.055,0.067
I,5,0.255,0.185,0.06,0.088
I,7,0.315,0.24,0.085,0.1715
I,7,0.325,0.25,0.08,0.1735
I,6,0.335,0.25,0.08,0.183
I,6,0.35,0.27,0.09,0.2055
I,6,0.35,0.25,0.07,0.18
I,7,0.36,0.3,0.085,0.27
I,7,0.365,0.275,0.135,0.24
I,6,0.37,0.275,0.14,0.2215
I,7,0.38,0.275,0.095,0.1375
I,6,0.385,0.29,0.095,0.312
I,7,0.385,0.3,0.1,0.2895
I,7,0.395,0.29,0.095,0.319
I,6,0.395,0.29,0.095,0.304
I,6,0.4,0.31,0.1,0.306
I,6,0.41,0.325,0.1,0.394
I,7,0.415,0.32,0.11,0.3735
M,6,0.415,0.305,0.1,0.325
I,6,0.425,0.325,0.1,0.398
I,9,0.44,0.365,0.115,0.501
I,7,0.445,0.335,0.1,0.4895
I,7,0.445,0.325,0.1,0.378
I,8,0.45,0.35,0.13,0.547
M,8,0.47,0.375,0.12,0.5805
I,9,0.475,0.365,0.125,0.5465
F,8,0.48,0.365,0.135,0.6395
I,9,0.485,0.355,0.105,0.498
M,8,0.49,0.385,0.125,0.609
F,9,0.495,0.41,0.125,0.7555
M,9,0.5,0.4,0.125,0.5975
M,8,0.505,0.44,0.14,0.8275
M,8,0.525,0.395,0.13,0.7635
M,9,0.54,0.405,0.125,0.891
F,11,0.54,0.42,0.14,0.805
F,10,0.545,0.44,0.135,0.9185
F,8,0.55,0.43,0.125,0.923
M,10,0.55,0.45,0.15,1.0145
F,10,0.55,0.45,0.15,0.875
M,9,0.555,0.435,0.145,0.9685
M,10,0.565,0.45,0.155,1.0595
M,9,0.57,0.455,0.15,0.952
M,10,0.57,0.435,0.13,0.7535
F,9,0.575,0.465,0.14,0.958
M,9,0.59,0.475,0.165,1.077
M,12,0.59,0.46,0.13,1.102
F,10,0.595,0.48,0.15,1.11
F,8,0.595,0.48,0.16,1.2095
F,6,0.595,0.475,0.16,1.1405
F,12,0.595,0.465,0.14,1.113
M,11,0.6,0.475,0.175,1.3445
F,10,0.6,0.475,0.155,1.21
M,11,0.6,0.495,0.175,1.29
F,10,0.605,0.475,0.175,1.382
M,9,0.605,0.455,0.16,1.1035
F,12,0.615,0.5,0.175,1.377
F,10,0.615,0.52,0.15,1.3435
M,9,0.615,0.51,0.15,1.296
M,12,0.615,0.505,0.165,1.34
F,11,0.62,0.505,0.16,1.3725
M,9,0.62,0.5,0.165,1.307
F,11,0.625,0.49,0.155,1.2085
F,11,0.625,0.49,0.2,1.3825
M,14,0.63,0.505,0.165,1.26
M,9,0.635,0.51,0.17,1.3555
F,10,0.635,0.5,0.15,1.376
F,9,0.635,0.485,0.165,1.2945
F,8,0.64,0.51,0.165,1.486
M,11,0.65,0.525,0.175,1.4715
M,9,0.655,0.52,0.165,1.4095
M,17,0.655,0.58,0.205,2.0805
M,15,0.66,0.53,0.17,1.3905
M,10,0.66,0.52,0.19,1.558
F,10,0.67,0.585,0.16,1.309
F,12,0.675,0.525,0.17,1.8095
F,9,0.675,0.525,0.155,1.4785
F,11,0.68,0.56,0.195,1.7775
F,11,0.685,0.54,0.16,1.6675
F,11,0.695,0.56,0.22,1.834
M,17,0.73,0.595,0.23,2.8255
I,6,0.205,0.14,0.05,0.046
I,5,0.24,0.175,0.055,0.0705
I,3,0.24,0.175,0.065,0.0665
I,6,0.255,0.19,0.05,0.083
I,4,0.255,0.18,0.055,0.083
I,6,0.265,0.195,0.06,0.092
I,4,0.28,0.12,0.075,0.117
I,5,0.295,0.23,0.08,0.1625
I,4,0.3,0.235,0.08,0.131
I,6,0.3,0.23,0.095,0.1385
I,5,0.305,0.22,0.07,0.141
I,6,0.315,0.235,0.075,0.1485
I,8,0.315,0.23,0.07,0.144
I,5,0.32,0.24,0.09,0.1575
I,6,0.325,0.24,0.075,0.187
I,6,0.33,0.265,0.085,0.196
I,7,0.335,0.25,0.075,0.1825
I,7,0.335,0.25,0.075,0.186
I,5,0.34,0.25,0.075,0.1785
I,7,0.34,0.25,0.07,0.2225
I,7,0.345,0.265,0.1,0.2455
I,6,0.37,0.29,0.095,0.249
I,7,0.37,0.28,0.095,0.2865
I,6,0.375,0.28,0.09,0.215
I,6,0.385,0.265,0.08,0.251
I,7,0.41,0.31,0.09,0.339
I,7,0.41,0.305,0.09,0.3535
I,6,0.41,0.31,0.09,0.3335
I,6,0.415,0.33,0.09,0.3595
I,5,0.42,0.32,0.115,0.376
I,6,0.42,0.315,0.1,0.3435
I,6,0.425,0.34,0.1,0.382
I,6,0.425,0.315,0.1,0.377
I,7,0.43,0.325,0.1,0.3645
I,7,0.43,0.325,0.09,0.425
I,8,0.435,0.325,0.12,0.3995
I,6,0.435,0.34,0.115,0.3925
I,6,0.44,0.345,0.13,0.4495
I,7,0.44,0.325,0.09,0.35
F,6,0.445,0.335,0.11,0.4355
I,7,0.445,0.35,0.13,0.4195
I,7,0.45,0.36,0.13,0.478
I,8,0.45,0.355,0.105,0.4445
I,7,0.45,0.345,0.11,0.47
I,7,0.45,0.335,0.105,0.447
I,7,0.455,0.355,0.125,0.5325
I,6,0.455,0.375,0.12,0.497
I,7,0.46,0.36,0.1,0.4635
I,7,0.46,0.345,0.105,0.449
I,7,0.465,0.365,0.115,0.467
I,7,0.465,0.37,0.115,0.534
I,7,0.465,0.345,0.11,0.4415
F,6,0.465,0.35,0.125,0.482
M,8,0.47,0.365,0.12,0.612
F,8,0.47,0.365,0.12,0.582
M,9,0.475,0.37,0.125,0.537
F,6,0.475,0.36,0.12,0.5915
M,6,0.48,0.375,0.115,0.6765
M,6,0.48,0.385,0.145,0.64
M,8,0.48,0.36,0.1,0.439
M,7,0.48,0.365,0.12,0.6015
F,7,0.485,0.37,0.115,0.4785
M,8,0.49,0.385,0.125,0.649
M,8,0.495,0.395,0.135,0.6335
M,7,0.495,0.4,0.135,0.61
M,6,0.5,0.39,0.135,0.6595
I,8,0.5,0.385,0.12,0.56
M,7,0.5,0.385,0.135,0.6425
M,7,0.5,0.4,0.125,0.6725
F,9,0.505,0.39,0.13,0.674
I,8,0.505,0.39,0.15,0.685
M,9,0.505,0.41,0.125,0.642
I,8,0.505,0.355,0.125,0.601
M,8,0.51,0.39,0.135,0.769
I,7,0.51,0.375,0.1,0.5785
I,7,0.51,0.405,0.135,0.769
M,8,0.51,0.405,0.15,0.7035
M,8,0.51,0.41,0.145,0.796
F,8,0.515,0.43,0.14,0.834
M,7,0.515,0.39,0.155,0.7125
F,8,0.525,0.415,0.14,0.724
M,11,0.525,0.4,0.14,0.7325
F,8,0.53,0.425,0.13,0.7585
F,8,0.53,0.425,0.15,0.8495
M,7,0.53,0.405,0.125,0.6515
F,8,0.535,0.4,0.135,0.8215
M,8,0.535,0.43,0.14,0.7165
M,8,0.535,0.435,0.14,0.874
F,9,0.55,0.445,0.155,0.9905
F,9,0.55,0.43,0.14,0.8105
F,9,0.56,0.455,0.16,0.967
F,8,0.565,0.4,0.13,0.6975
M,10,0.57,0.45,0.155,1.195
M,10,0.57,0.45,0.155,1.1935
F,8,0.57,0.455,0.15,1.107
M,8,0.57,0.445,0.14,1.0635
M,7,0.57,0.46,0.17,0.9035
M,9,0.575,0.475,0.16,1.114
F,9,0.575,0.46,0.16,1.103
F,7,0.58,0.46,0.15,1.1155
F,8,0.58,0.46,0.18,1.0515
M,10,0.58,0.455,0.15,1.012
F,8,0.58,0.45,0.145,1.137
M,9,0.58,0.49,0.13,1.1335
M,11,0.59,0.465,0.155,1.136
M,8,0.59,0.47,0.16,1.206
F,8,0.59,0.455,0.145,1.063
F,11,0.595,0.47,0.155,1.121
F,11,0.595,0.45,0.15,1.114
M,9,0.595,0.475,0.165,1.213
F,9,0.595,0.46,0.14,1.0045
M,9,0.595,0.455,0.15,1.044
F,9,0.605,0.49,0.15,1.1345
M,9,0.605,0.475,0.155,1.161
M,11,0.605,0.47,0.165,1.2315
M,11,0.61,0.47,0.15,1.1625
M,10,0.61,0.475,0.155,1.168
F,8,0.615,0.48,0.16,1.2525
F,11,0.62,0.51,0.18,1.3315
F,10,0.625,0.48,0.17,1.3525
M,10,0.625,0.49,0.175,1.3325
F,10,0.625,0.475,0.175,1.1435
F,9,0.625,0.5,0.165,1.288
F,9,0.625,0.485,0.2,1.38
M,8,0.63,0.485,0.155,1.278
F,11,0.63,0.495,0.165,1.3075
M,8,0.63,0.48,0.15,1.1785
M,11,0.635,0.49,0.175,1.375
M,10,0.635,0.525,0.185,1.4065
M,10,0.64,0.505,0.155,1.4025
F,11,0.64,0.5,0.17,1.5175
F,10,0.64,0.5,0.175,1.394
F,10,0.645,0.5,0.155,1.2205
M,11,0.645,0.52,0.175,1.636
M,8,0.645,0.52,0.175,1.561
F,8,0.645,0.505,0.165,1.4325
M,11,0.645,0.5,0.175,1.3385
F,10,0.645,0.5,0.16,1.2465
F,10,0.645,0.515,0.15,1.212
M,9,0.65,0.495,0.16,1.304
M,11,0.65,0.52,0.21,1.6785
M,10,0.65,0.525,0.185,1.622
F,9,0.655,0.46,0.16,1.494
F,10,0.655,0.51,0.175,1.6525
F,11,0.66,0.505,0.185,1.528
M,9,0.66,0.535,0.19,1.5905
M,10,0.66,0.495,0.195,1.6275
F,6,0.66,0.475,0.18,1.3695
M,11,0.67,0.525,0.165,1.6085
F,10,0.675,0.57,0.225,1.587
F,12,0.675,0.565,0.195,1.8375
M,12,0.68,0.535,0.185,1.607
M,8,0.69,0.525,0.175,1.7005
M,10,0.69,0.505,0.2,1.872
F,10,0.695,0.535,0.175,1.8385
F,12,0.705,0.535,0.18,1.685
M,11,0.71,0.565,0.205,2.198
M,10,0.715,0.565,0.175,1.9525
F,11,0.715,0.525,0.185,1.56
F,11,0.735,0.6,0.22,2.555
M,12,0.765,0.6,0.22,2.302
I,4,0.185,0.13,0.045,0.029
I,3,0.195,0.15,0.045,0.0375
I,4,0.195,0.135,0.04,0.0325
I,4,0.2,0.155,0.04,0.0435
I,4,0.225,0.165,0.055,0.059
I,4,0.245,0.18,0.065,0.071
I,5,0.25,0.18,0.065,0.0685
I,7,0.265,0.195,0.055,0.084
I,6,0.275,0.195,0.065,0.106
I,5,0.28,0.21,0.085,0.1075
I,5,0.285,0.22,0.065,0.096
I,6,0.3,0.22,0.08,0.1255
I,6,0.315,0.235,0.055,0.151
I,6,0.32,0.225,0.085,0.1415
I,5,0.34,0.265,0.08,0.2015
I,6,0.37,0.28,0.1,0.221
I,6,0.375,0.28,0.08,0.2345
I,6,0.375,0.275,0.1,0.2325
I,7,0.385,0.29,0.08,0.2485
I,6,0.4,0.32,0.095,0.348
I,7,0.405,0.3,0.11,0.32
I,7,0.41,0.3,0.1,0.282
I,6,0.41,0.325,0.1,0.3245
I,7,0.42,0.3,0.105,0.316
I,7,0.42,0.32,0.11,0.3625
I,6,0.42,0.31,0.095,0.279
I,7,0.425,0.325,0.115,0.3685
M,7,0.43,0.335,0.12,0.397
I,6,0.435,0.33,0.11,0.413
I,7,0.435,0.345,0.115,0.418
I,7,0.44,0.33,0.11,0.3705
I,7,0.445,0.345,0.105,0.409
I,7,0.445,0.34,0.145,0.434
I,8,0.445,0.335,0.11,0.411
I,8,0.45,0.365,0.125,0.462
I,6,0.45,0.34,0.12,0.4925
I,7,0.45,0.33,0.105,0.3715
I,6,0.45,0.33,0.1,0.411
I,6,0.45,0.33,0.11,0.3685
I,7,0.46,0.35,0.115,0.4155
M,7,0.47,0.36,0.105,0.544
I,6,0.47,0.38,0.125,0.4845
I,6,0.475,0.35,0.11,0.4565
I,7,0.475,0.35,0.1,0.4545
I,8,0.48,0.38,0.125,0.6245
M,7,0.49,0.465,0.125,0.5225
I,7,0.5,0.375,0.14,0.5495
I,9,0.5,0.375,0.12,0.542
I,8,0.5,0.38,0.125,0.519
M,6,0.5,0.39,0.125,0.5215
F,7,0.505,0.39,0.125,0.5445
I,8,0.51,0.405,0.125,0.6795
F,6,0.51,0.4,0.125,0.545
I,9,0.51,0.4,0.125,0.5575
I,8,0.51,0.38,0.115,0.5155
I,8,0.515,0.385,0.125,0.6115
M,9,0.52,0.4,0.145,0.7765
I,8,0.52,0.38,0.135,0.5395
I,8,0.52,0.38,0.125,0.5545
F,7,0.52,0.46,0.15,1.019
I,8,0.525,0.4,0.13,0.6455
I,9,0.525,0.4,0.14,0.601
M,9,0.525,0.405,0.12,0.7555
I,8,0.525,0.395,0.12,0.608
I,8,0.53,0.4,0.125,0.617
I,9,0.535,0.39,0.125,0.599
I,10,0.54,0.42,0.14,0.6665
M,7,0.545,0.39,0.135,0.7835
M,9,0.545,0.41,0.12,0.793
M,9,0.545,0.415,0.14,0.82
F,8,0.55,0.415,0.135,0.8145
F,8,0.55,0.43,0.15,0.84
M,10,0.55,0.425,0.15,0.8315
M,9,0.56,0.43,0.145,0.8995
M,8,0.56,0.445,0.16,0.8965
F,8,0.56,0.44,0.155,0.6405
M,8,0.56,0.415,0.145,0.852
M,9,0.565,0.455,0.15,0.9595
M,8,0.565,0.435,0.15,0.99
F,9,0.565,0.45,0.175,1.0095
M,9,0.57,0.46,0.15,1.0375
F,8,0.57,0.445,0.145,0.8775
I,8,0.57,0.44,0.15,0.755
F,7,0.575,0.46,0.145,0.9945
F,10,0.575,0.45,0.16,1.068
M,9,0.575,0.435,0.14,0.8455
F,9,0.575,0.47,0.165,0.869
M,9,0.575,0.455,0.135,0.907
I,10,0.575,0.435,0.13,0.805
M,9,0.575,0.445,0.17,1.0225
M,9,0.575,0.445,0.145,0.847
M,8,0.58,0.455,0.15,1.114
M,9,0.58,0.455,0.195,1.859
M,9,0.58,0.445,0.135,0.814
M,9,0.58,0.45,0.14,0.9615
M,8,0.58,0.45,0.145,1.0025
F,9,0.58,0.45,0.155,0.93
M,9,0.585,0.46,0.145,0.9335
M,7,0.585,0.465,0.16,0.9555
M,8,0.59,0.47,0.15,0.9955
F,9,0.6,0.475,0.16,1.0265
M,8,0.6,0.455,0.17,1.1915
F,8,0.6,0.465,0.15,1.1025
M,10,0.6,0.465,0.155,1.0165
F,9,0.605,0.47,0.165,1.1775
M,9,0.605,0.475,0.14,1.1175
M,10,0.605,0.48,0.17,1.1835
F,9,0.605,0.475,0.165,1.056
M,8,0.61,0.485,0.16,1.0145
M,9,0.61,0.485,0.145,1.3305
M,9,0.61,0.47,0.165,1.052
M,10,0.615,0.46,0.17,1.0565
F,9,0.615,0.465,0.15,0.923
F,9,0.615,0.475,0.155,1.027
M,8,0.62,0.47,0.135,1.0195
M,8,0.62,0.45,0.2,0.858
F,8,0.62,0.48,0.16,1.1125
F,9,0.625,0.485,0.175,1.3745
M,8,0.625,0.48,0.185,1.2065
M,8,0.63,0.47,0.155,1.1325
M,10,0.63,0.5,0.175,1.2645
F,9,0.635,0.495,0.015,1.1565
M,10,0.64,0.515,0.165,1.369
M,10,0.645,0.53,0.195,1.39
F,10,0.645,0.48,0.17,1.1345
F,9,0.65,0.5,0.19,1.464
M,11,0.65,0.5,0.155,1.202
M,11,0.655,0.515,0.16,1.31
F,10,0.655,0.51,0.175,1.415
F,11,0.66,0.53,0.185,1.346
M,8,0.665,0.525,0.16,1.363
I,9,0.665,0.5,0.17,1.2975
F,9,0.67,0.505,0.205,1.3645
F,14,0.685,0.54,0.215,1.7025
M,10,0.685,0.52,0.165,1.519
F,9,0.69,0.54,0.155,1.454
M,12,0.69,0.53,0.21,1.583
F,9,0.69,0.53,0.17,1.5535
M,10,0.695,0.56,0.185,1.74
M,9,0.7,0.565,0.18,1.751
M,12,0.7,0.575,0.19,2.273
F,9,0.7,0.525,0.19,1.6465
F,9,0.705,0.55,0.17,1.219
F,11,0.71,0.56,0.18,1.652
M,12,0.715,0.55,0.19,2.0045
M,10,0.715,0.535,0.19,1.6755
F,10,0.72,0.58,0.195,2.103
F,10,0.72,0.55,0.2,1.9965
M,8,0.72,0.565,0.145,1.187
M,12,0.725,0.505,0.185,1.978
F,12,0.73,0.575,0.185,1.8795
M,11,0.735,0.585,0.185,2.124
M,11,0.745,0.565,0.215,1.931
F,11,0.75,0.57,0.21,2.236
F,11,0.755,0.625,0.21,2.505
M,10,0.755,0.58,0.205,2.0065
F,11,0.78,0.63,0.215,2.657
I,6,0.185,0.375,0.12,0.4645
I,4,0.245,0.205,0.06,0.0765
I,5,0.25,0.185,0.065,0.0685
I,5,0.25,0.19,0.065,0.0835
I,6,0.275,0.195,0.09,0.1125
I,5,0.305,0.215,0.065,0.1075
I,5,0.31,0.225,0.07,0.1055
I,5,0.315,0.23,0.08,0.1375
I,5,0.315,0.23,0.07,0.1145
I,6,0.325,0.225,0.075,0.139
I,7,0.33,0.25,0.095,0.2085
I,5,0.33,0.205,0.095,0.1595
I,7,0.335,0.245,0.09,0.2015
I,6,0.34,0.25,0.09,0.179
I,6,0.345,0.255,0.095,0.1945
I,5,0.345,0.255,0.085,0.2005
I,6,0.35,0.27,0.075,0.215
I,8,0.35,0.255,0.09,0.1785
I,4,0.36,0.27,0.085,0.196
I,6,0.365,0.27,0.085,0.1875
I,7,0.365,0.27,0.085,0.196
I,7,0.365,0.265,0.085,0.213
I,7,0.37,0.29,0.09,0.2445
I,6,0.37,0.28,0.085,0.217
I,5,0.375,0.29,0.095,0.213
I,7,0.375,0.29,0.085,0.2385
I,6,0.375,0.275,0.09,0.218
I,6,0.375,0.275,0.095,0.2465
I,8,0.375,0.28,0.08,0.2025
I,7,0.375,0.27,0.085,0.218
I,6,0.38,0.275,0.11,0.256
I,8,0.38,0.27,0.08,0.2105
I,9,0.385,0.29,0.09,0.2615
I,8,0.385,0.28,0.085,0.2175
I,7,0.385,0.3,0.095,0.302
I,5,0.385,0.28,0.09,0.228
I,7,0.39,0.3,0.095,0.3265
I,8,0.395,0.305,0.105,0.284
I,8,0.395,0.295,0.095,0.2725
I,5,0.395,0.27,0.1,0.2985
I,5,0.4,0.29,0.1,0.2675
I,6,0.405,0.285,0.09,0.2645
I,7,0.41,0.335,0.11,0.33
I,6,0.42,0.305,0.09,0.328
I,7,0.425,0.325,0.11,0.3335
I,7,0.425,0.32,0.1,0.3055
I,7,0.425,0.31,0.09,0.301
I,8,0.43,0.34,0,0.428
I,8,0.43,0.315,0.095,0.378
I,7,0.435,0.315,0.11,0.3685
I,9,0.44,0.34,0.12,0.438
I,9,0.45,0.33,0.105,0.448
I,8,0.455,0.345,0.105,0.4005
F,8,0.455,0.365,0.115,0.4305
I,8,0.455,0.33,0.1,0.372
I,7,0.46,0.36,0.105,0.466
I,9,0.46,0.35,0.105,0.3705
F,8,0.46,0.365,0.125,0.4785
I,11,0.465,0.34,0.11,0.346
I,8,0.47,0.365,0.1,0.411
I,8,0.47,0.355,0.18,0.48
I,8,0.47,0.355,0.12,0.393
I,8,0.475,0.355,0.1,0.5035
I,8,0.475,0.38,0.12,0.441
I,8,0.475,0.36,0.11,0.492
I,9,0.48,0.37,0.125,0.5435
I,8,0.48,0.355,0.115,0.4725
I,8,0.48,0.365,0.1,0.461
I,8,0.495,0.355,0.12,0.4965
I,7,0.495,0.38,0.13,0.5125
M,8,0.495,0.395,0.12,0.553
I,9,0.5,0.38,0.135,0.594
M,9,0.5,0.42,0.135,0.6765
I,9,0.5,0.375,0.145,0.5795
I,9,0.5,0.41,0.14,0.6615
I,7,0.5,0.375,0.125,0.5695
I,9,0.5,0.395,0.14,0.6215
I,8,0.505,0.405,0.13,0.6015
I,7,0.505,0.38,0.12,0.594
I,8,0.505,0.395,0.105,0.551
I,7,0.515,0.38,0.12,0.625
I,13,0.515,0.42,0.135,0.711
I,9,0.515,0.4,0.135,0.6965
I,10,0.52,0.4,0.13,0.5825
I,9,0.52,0.395,0.125,0.663
I,9,0.525,0.4,0.125,0.6965
M,9,0.525,0.42,0.155,0.842
I,9,0.53,0.415,0.13,0.694
I,10,0.53,0.42,0.155,0.81
I,9,0.53,0.415,0.11,0.5745
I,9,0.53,0.425,0.13,0.7675
I,9,0.535,0.4,0.135,0.6025
I,8,0.535,0.415,0.15,0.5765
F,9,0.535,0.41,0.13,0.7145
M,9,0.535,0.435,0.15,0.717
F,10,0.54,0.42,0.145,0.8655
I,9,0.54,0.42,0.14,0.7265
I,8,0.545,0.435,0.135,0.7715
F,9,0.545,0.445,0.15,0.8
I,10,0.545,0.43,0.15,0.7285
I,8,0.545,0.405,0.135,0.5945
I,11,0.55,0.43,0.145,0.7895
F,9,0.55,0.405,0.125,0.651
M,9,0.55,0.43,0.15,0.8745
I,10,0.55,0.435,0.14,0.7535
I,9,0.55,0.425,0.135,0.7305
M,9,0.555,0.44,0.14,0.8705
I,10,0.555,0.43,0.155,0.7395
I,9,0.555,0.43,0.14,0.7665
I,9,0.555,0.425,0.145,0.7905
I,9,0.56,0.425,0.135,0.8205
I,9,0.56,0.425,0.145,0.688
F,10,0.56,0.445,0.155,1.224
I,9,0.56,0.455,0.145,0.974
I,11,0.565,0.44,0.175,0.8735
F,8,0.565,0.45,0.145,0.8495
M,8,0.565,0.445,0.15,0.796
M,11,0.565,0.39,0.125,0.744
I,10,0.57,0.45,0.145,0.751
I,8,0.57,0.45,0.135,0.794
F,9,0.57,0.46,0.135,0.9795
M,10,0.57,0.435,0.17,0.873
I,10,0.57,0.44,0.13,0.7665
M,9,0.57,0.435,0.125,0.8965
F,10,0.575,0.42,0.135,0.857
F,9,0.575,0.48,0.165,1.078
M,10,0.575,0.46,0.155,0.892
M,10,0.58,0.46,0.155,1.4395
M,10,0.58,0.455,0.135,0.7955
F,8,0.58,0.445,0.15,0.858
M,9,0.585,0.465,0.155,0.9145
M,10,0.585,0.49,0.185,1.171
I,10,0.585,0.475,0.16,1.0505
M,10,0.585,0.46,0.165,1.1135
M,10,0.585,0.47,0.165,1.409
M,10,0.585,0.475,0.15,1.065
M,8,0.585,0.45,0.18,0.7995
I,9,0.59,0.445,0.135,0.7715
M,9,0.59,0.47,0.18,1.187
M,10,0.59,0.455,0.155,0.8855
F,10,0.595,0.465,0.15,0.98
F,12,0.595,0.465,0.155,1.026
M,10,0.6,0.475,0.17,1.1315
M,11,0.6,0.48,0.155,1.014
I,10,0.6,0.475,0.15,1.12
F,11,0.6,0.465,0.155,1.04
F,10,0.6,0.455,0.145,0.8895
M,11,0.6,0.46,0.155,0.9595
I,11,0.605,0.485,0.15,1.238
M,10,0.605,0.49,0.14,0.9755
I,11,0.605,0.435,0.13,0.9025
F,9,0.605,0.475,0.175,1.076
